代碼,公司名稱,上市,類別
9104,萬宇科,上市,其他
9902,台火,上市,其他
9904,寶成,上市,其他
9905,大華,上市,其他
9906,興達,上市,其他
9907,統一實,上市,其他
9908,大台北,上市,其他
9910,豐泰,上市,其他
9911,櫻花,上市,其他
9912,偉聯,上市,其他
9914,美利達,上市,其他
9915,億豐,上市,其他
9917,中保,上市,其他
9918,欣天然,上市,其他
9919,康那香,上市,其他
9921,巨大,上市,其他
9922,優美,上市,其他
9924,福興,上市,其他
9925,新保,上市,其他
9926,新海,上市,其他
9927,泰銘,上市,其他
9928,中視,上市,其他
9929,秋雨,上市,其他
9930,中聯資,上市,其他
9931,欣高油氣,上市,其他
9933,中鼎,上市,其他
9934,成霖,上市,其他
9935,慶豐富,上市,其他
9936,欣錩,上市,其他
9937,全國,上市,其他
9938,百和,上市,其他
9939,宏全國際,上市,其他
9940,信義,上市,其他
9941,裕融,上市,其他
9942,茂順,上市,其他
9943,好樂迪,上市,其他
9944,新麗,上市,其他
9945,潤泰新,上市,化學
1701,中化,上市,化學
1702,南僑,上市,化學
1704,榮化,上市,化學
1707,葡萄王,上市,化學
1708,東鹼,上市,化學
1709,和益,上市,化學
1710,東聯,上市,化學
1711,永光,上市,化學
1712,興農,上市,化學
1713,國化,上市,化學
1714,和桐,上市,化學
1715,亞化,上市,化學
1716,永信,上市,化學
1717,長興,上市,化學
1718,中纖,上市,化學
1720,生達,上市,化學
1721,三晃,上市,化學
1722,台肥,上市,化學
1723,中鋼碳素,上市,化學
1724,台硝,上市,化學
1725,元禎,上市,化學
1726,永記,上市,化學
1727,中華化,上市,化學
1729,必翔,上市,化學
1730,花仙子,上市,化學
1731,美吾華,上市,化學
1732,毛寶,上市,化學
1733,五鼎,上市,化學
1734,杏輝,上市,化學
1735,日勝化,上市,化學
1736,喬山,上市,塑膠
1301,台塑,上市,塑膠
1303,南亞,上市,塑膠
1304,台聚,上市,塑膠
1305,華夏,上市,塑膠
1306,合發,上市,塑膠
1307,三芳,上市,塑膠
1308,亞聚,上市,塑膠
1309,台達,上市,塑膠
1310,台苯,上市,塑膠
1311,福聚,上市,塑膠
1312,國喬,上市,塑膠
1313,聯成,上市,塑膠
1314,中石化,上市,塑膠
1315,達新,上市,塑膠
1316,上曜,上市,塑膠
1319,東陽,上市,塑膠
1321,大洋,上市,塑膠
1323,永裕,上市,塑膠
1324,地球,上市,塑膠
1325,恆大,上市,塑膠
1326,台化,上市,橡膠
2101,南港,上市,橡膠
2102,泰豐,上市,橡膠
2103,台橡,上市,橡膠
2104,中橡,上市,橡膠
2105,正新,上市,橡膠
2106,建大,上市,橡膠
2107,厚生,上市,橡膠
2108,南帝,上市,橡膠
2109,華豐,上市,水泥
1101,台泥,上市,水泥
1102,亞泥,上市,水泥
1103,嘉泥,上市,水泥
1104,環泥,上市,水泥
1107,建台,上市,水泥
1109,信大,上市,水泥
1110,東泥,上市,汽車
2201,裕隆,上市,汽車
2204,中華,上市,汽車
2206,三陽,上市,汽車
2207,和泰,上市,營建
2501,國建,上市,營建
2504,國產,上市,營建
2505,國揚,上市,營建
2506,太設,上市,營建
2509,全坤,上市,營建
2511,太子,上市,營建
2512,寶建,上市,營建
2514,龍邦,上市,營建
2515,中工,上市,營建
2516,新建,上市,營建
2520,冠德,上市,營建
2521,宏總,上市,營建
2523,德寶,上市,營建
2524,京城,上市,營建
2525,寶祥,上市,營建
2526,大陸,上市,營建
2527,宏璟,上市,營建
2528,皇普,上市,營建
2530,華建,上市,營建
2533,昱成,上市,營建
2534,宏盛,上市,營建
2535,達欣工程,上市,營建
2536,宏普,上市,營建
2537,春池,上市,營建
2538,基泰,上市,營建
2539,櫻建,上市,營建
2540,林三號,上市,營建
2542,興富發,上市,營建
2543,皇昌,上市,營建
2544,昌益光電,上市,營建
2545,皇翔,上市,營建
2546,根基,上市,營建
2547,日勝生,上市,營建
2548,華固,上市,玻璃
1802,台玻,上市,玻璃
1805,凱聚,上市,玻璃
1806,信益,上市,玻璃
1807,羅馬,上市,玻璃
1808,國賓瓷,上市,玻璃
1809,中釉,上市,玻璃
1810,和成,上市,紡織纖維
1402,遠紡,上市,紡織纖維
1407,華隆,上市,紡織纖維
1408,中紡,上市,紡織纖維
1409,新纖,上市,紡織纖維
1410,南染,上市,紡織纖維
1413,宏洲,上市,紡織纖維
1414,東和,上市,紡織纖維
1416,廣豐,上市,紡織纖維
1417,嘉裕,上市,紡織纖維
1418,東華,上市,紡織纖維
1419,新紡,上市,紡織纖維
1423,利華,上市,紡織纖維
1432,大魯閣,上市,紡織纖維
1434,福懋,上市,紡織纖維
1435,中福,上市,紡織纖維
1436,福益,上市,紡織纖維
1437,勤益,上市,紡織纖維
1438,裕豐,上市,紡織纖維
1439,中和,上市,紡織纖維
1440,南紡,上市,紡織纖維
1441,大東,上市,紡織纖維
1442,名軒,上市,紡織纖維
1443,立益,上市,紡織纖維
1444,力麗,上市,紡織纖維
1445,大宇,上市,紡織纖維
1446,宏和,上市,紡織纖維
1447,力鵬,上市,紡織纖維
1449,佳和,上市,紡織纖維
1450,新藝,上市,紡織纖維
1451,年興,上市,紡織纖維
1452,宏益,上市,紡織纖維
1453,大將,上市,紡織纖維
1454,台富,上市,紡織纖維
1455,集盛,上市,紡織纖維
1456,怡華,上市,紡織纖維
1457,宜進,上市,紡織纖維
1458,嘉畜,上市,紡織纖維
1459,聯發,上市,紡織纖維
1460,宏遠,上市,紡織纖維
1462,東雲,上市,紡織纖維
1463,強盛,上市,紡織纖維
1464,得力,上市,紡織纖維
1465,偉全,上市,紡織纖維
1466,聚隆,上市,紡織纖維
1467,南緯,上市,紡織纖維
1468,昶和,上市,紡織纖維
1469,理隆,上市,紡織纖維
1470,大統,上市,紡織纖維
1471,首利,上市,紡織纖維
1472,三洋纖,上市,紡織纖維
1473,台南,上市,紡織纖維
1474,弘裕,上市,紡織纖維
1475,本盟,上市,紡織纖維
1476,儒鴻,上市,紡織纖維
1477,聚陽,上市,綜合
9801,力霸,上市,觀光
2701,萬企,上市,觀光
2702,華園,上市,觀光
2704,國賓,上市,觀光
2705,六福,上市,觀光
2706,第一店,上市,觀光
2707,晶華,上市,證券
2854,寶來證,上市,證券
2855,統一證,上市,證券
2856,元富證,上市,貿易百貨
2901,欣欣,上市,貿易百貨
2902,中信,上市,貿易百貨
2903,遠百,上市,貿易百貨
2904,匯僑,上市,貿易百貨
2905,三商行,上市,貿易百貨
2906,高林實業,上市,貿易百貨
2908,特力,上市,貿易百貨
2910,統領,上市,貿易百貨
2911,麗嬰房,上市,貿易百貨
2912,統一超商,上市,貿易百貨
2913,農林,上市,貿易百貨
2915,潤泰全,上市,資訊電子
2301,光寶科,上市,資訊電子
2302,麗正,上市,資訊電子
2303,聯電,上市,資訊電子
2305,全友,上市,資訊電子
2308,台達電子,上市,資訊電子
2310,旭麗,上市,資訊電子
2311,日月光,上市,資訊電子
2312,金寶,上市,資訊電子
2313,華通,上市,資訊電子
2314,台揚,上市,資訊電子
2315,神達,上市,資訊電子
2316,楠梓電子,上市,資訊電子
2317,鴻海,上市,資訊電子
2318,佳錄,上市,資訊電子
2319,大眾,上市,資訊電子
2321,東訊,上市,資訊電子
2322,致福,上市,資訊電子
2323,中環,上市,資訊電子
2324,仁寶,上市,資訊電子
2325,矽品,上市,資訊電子
2326,亞瑟,上市,資訊電子
2327,國巨,上市,資訊電子
2328,廣宇,上市,資訊電子
2329,華泰,上市,資訊電子
2330,台積電,上市,資訊電子
2331,精英,上市,資訊電子
2332,友訊,上市,資訊電子
