代碼,公司名稱
2801,彰銀
2809,京城銀
2812,台中銀
2816,旺旺保
2820,華票
2832,台產
2834,臺企銀
2836,高雄銀
2838,聯邦銀
2845,遠東銀
2849,安泰銀
2850,新產
2851,中再保
2852,第一保
2855,統一證
2867,三商壽
2880,華南金
2881,富邦金
2882,國泰金
2883,開發金
2884,玉山金
2885,元大金
2886,兆豐金
2887,台新金
2888,新光金
2889,國票金
2890,永豐金
2891,中信金
2892,第一金
2897,王道銀行
5876,上海商銀
5880,合庫金
6005,群益證
6024,群益期
2836A,高雄銀甲特
2838A,聯邦銀甲特
2881A,富邦特
2881B,富邦金乙特
2881C,富邦金丙特
2882A,國泰特
2882B,國泰金乙特
2883B,開發金乙特
2887E,台新戊特
2887F,台新戊特二
2887Z1,台新己特
2888A,新光金甲特
2888B,新光金乙特
2891B,中信金乙特
2891C,中信金丙特
2897A,王道銀甲特
2312,金寶
2317,鴻海
2354,鴻準
2359,所羅門
2360,致茂
2373,震旦行
2390,云辰
2404,漢唐
2423,固緯
2433,互盛電
2459,敦吉
2461,光群雷
2464,盟立
2474,可成
2477,美隆電
2482,連宇
2488,漢平
3018,同開
3030,德律
3043,科風
3305,昇貿
3518,柏騰
3617,碩天
3665,貿聯-KY
5225,東科-KY
6139,亞翔
6192,巨路
6196,帆宣
6201,亞弘電
6215,和椿
6283,淳安
6409,旭隼
6438,迅得
6558,興能高
6691,洋基工程
6698,旭暉應材
6743,安普新
6830,汎銓
8021,尖點
8201,無敵
8499,鼎炫-KY
2427,三商電
2453,凌群
2468,華經
2471,資通
2480,敦陽科
3029,零壹
3130,一零四
4994,傳奇
5203,訊連
6112,邁達特
6183,關貿
6214,精誠
2347,聯強
2414,精技
2430,燦坤
3010,華立
3028,增你強
3033,威健
3036,文曄
3048,益登
3055,蔚華科
3209,全科
3312,弘憶股
3528,安馳
3702,大聯大
5434,崇越
6189,豐藝
6281,全國電
6776,展碁國際
8070,長華*
8072,陞泰
8112,至上
3702A,大聯大甲特
8112A,至上甲特
1471,首利
1582,信錦
2059,川湖
2308,台達電
2313,華通
2316,楠梓電
2327,國巨
2328,廣宇
2355,敬鵬
2367,燿華
2368,金像電
2375,凱美
2383,台光電
2385,群光
2392,正崴
2402,毅嘉
2413,環科
2415,錩新
2420,新巨
2421,建準
2428,興勤
2431,聯昌
2440,太空梭
2457,飛宏
2460,建通
2462,良得電
2467,志聖
2472,立隆電
2476,鉅祥
2478,大毅
2483,百容
2484,希華
2492,華新科
2493,揚博
3003,健和興
3011,今皓
3015,全漢
3021,鴻名
3023,信邦
3026,禾伸堂
3032,偉訓
3037,欣興
3042,晶技
3044,健鼎
3058,立德
3090,日電貿
3092,鴻碩
3229,晟鈦
3296,勝德
3308,聯德
3321,同泰
3338,泰碩
3376,新日興
3432,台端
3501,維熹
3533,嘉澤
3550,聯穎
3593,力銘
3605,宏致
3607,谷崧
3645,達邁
3653,健策
3679,新至陞
3715,定穎投控
4545,銘鈺
4912,聯德控股-KY
4915,致伸
4927,泰鼎-KY
4943,康控-KY
4958,臻鼎-KY
4989,榮科
4999,鑫禾
5469,瀚宇博
6108,競國
6115,鎰勝
6133,金橋
6141,柏承
6153,嘉聯益
6155,鈞寶
6191,精成科
6197,佳必琪
6205,詮欣
6213,聯茂
6224,聚鼎
6269,台郡
6282,康舒
6412,群電
6449,鈺邦
6672,騰輝電子-KY
6715,嘉基
6781,AES-KY
6834,天二科技
8039,台虹
8046,南電
8103,瀚荃
8213,志超
8249,菱光
2301,光寶科
2305,全友
2324,仁寶
2331,精英
2352,佳世達
2353,宏碁
2356,英業達
2357,華碩
2362,藍天
2364,倫飛
2365,昆盈
2376,技嘉
2377,微星
2380,虹光
2382,廣達
2387,精元
2395,研華
2397,友通
2399,映泰
2405,輔信
2417,圓剛
2424,隴華
2425,承啟
2442,新美齊
2465,麗臺
2495,普安
3002,歐格
3005,神基
3013,晟銘電
3017,奇鋐
3022,威強電
3046,建碁
3057,喬鼎
3060,銘異
3231,緯創
3416,融程電
3494,誠研
3515,華擎
3701,大眾控
3706,神達
3712,永崴投控
4916,事欣科
4938,和碩
5215,科嘉-KY
5258,虹堡
6117,迎廣
6128,上福
6166,凌華
6206,飛捷
6230,尼得科超眾
6235,華孚
6277,宏正
6414,樺漢
6579,研揚
6591,動力-KY
6669,緯穎
8114,振樺電
8163,達方
8210,勤誠
9912,偉聯
1503,士電
1504,東元
1506,正道
1513,中興電
1514,亞力
1515,力山
1517,利奇
1519,華城
1526,日馳
1527,鑽全
1528,恩德
1529,樂士
1530,亞崴
1531,高林股
1532,勤美
1535,中宇
1537,廣隆
1538,正峰
1539,巨庭
1540,喬福
1541,錩泰
1558,伸興
1560,中砂
1583,程泰
1589,永冠-KY
1590,亞德客-KY
1597,直得
2049,上銀
2371,大同
3167,大量
4526,東台
4532,瑞智
4540,全球傳動
4552,力達-KY
4555,氣立
4560,強信-KY
4562,穎漢
4564,元翎
4566,時碩工業
4571,鈞興-KY
4572,駐龍
4576,大銀微系統
4583,台灣精銳
5288,豐祥-KY
8222,寶一
8374,羅昇
8996,高力
t00,加權指數
