代碼,公司名稱
2323,中環
2349,錸德
2374,佳能
2393,億光
2406,國碩
2409,友達
2426,鼎元
2429,銘旺科
2438,翔耀
2466,冠西電
2486,一詮
2489,瑞軒
2491,吉祥全
3008,大立光
3019,亞光
3024,憶聲
3031,佰鴻
3038,全台
3049,和鑫
3050,鈺德
3051,力特
3059,華晶科
3149,正達
3356,奇偶
3383,新世紀
3406,玉晶光
3437,榮創
3454,晶睿
3481,群創
3504,揚明光
3535,晶彩科
3543,州巧
3563,牧德
3576,聯合再生
3591,艾笛森
3622,洋華
3673,TPK-KY
3714,富采
4934,太極
4935,茂林-KY
4942,嘉彰
4956,光鋐
4960,誠美材
4976,佳凌
5234,達興材料
5243,乙盛-KY
5244,弘凱
5484,慧友
6116,彩晶
6120,達運
6164,華興
6168,宏齊
6176,瑞儀
6209,今國光
6225,天瀚
6226,光鼎
6278,台表科
6289,華上
6405,悅城
6443,元晶
6456,GIS-KY
6477,安集
6668,中揚光
6706,惠特
8104,錸寶
8105,凌巨
8215,明基材
