代碼,公司名稱
1342,八貫
1416,廣豐
1435,中福
1437,勤益控
1443,立益
1516,川飛
2062,橋椿
2348,海悅
2358,廷鑫
2443,昶虹
2496,卓越
2514,龍邦
2614,東森
2904,匯僑
3040,遠見
3557,嘉威
4536,拓凱
5284,jpp-KY
5306,桂盟
5871,中租-KY
6165,浪凡
6184,大豐電
6464,台數科
6504,南六
6581,鋼聯
6585,鼎基
6592,和潤企業
6625,必應
6641,基士德-KY
6655,科定
6670,復盛應用
6671,三能-KY
6754,匯僑設計
6768,志強-KY
6806,森崴能源
6807,峰源-KY
8033,雷虎
8341,日友
8404,百和興業-KY
8411,福貞-KY
8422,可寧衛
8438,昶昕
8442,威宏-KY
8463,潤泰材
8464,億豐
8466,美吉吉-KY
8467,波力-KY
8473,山林水
8478,東哥遊艇
8480,泰昇-KY
8481,政伸
8482,商億-KY
8488,吉源-KY
9802,鈺齊-KY
9902,台火
9904,寶成
9905,大華
9907,統一實
9910,豐泰
9911,櫻花
9914,美利達
9917,中保科
9919,康那香
9921,巨大
9924,福興
9925,新保
9927,泰銘
9928,中視
9929,秋雨
9930,中聯資源
9933,中鼎
9934,成霖
9935,慶豐富
9938,百和
9939,宏全
9940,信義
9941,裕融
9942,茂順
9944,新麗
9945,潤泰新
9955,佳龍
2348A,海悅甲特
5871A,中租-KY甲特
9941A,裕融甲特
