代碼,公司名稱
1471,首利
1582,信錦
2059,川湖
2308,台達電
2313,華通
2316,楠梓電
2327,國巨
2328,廣宇
2355,敬鵬
2367,燿華
2368,金像電
2375,凱美
2383,台光電
2385,群光
2392,正崴
2402,毅嘉
2413,環科
2415,錩新
2420,新巨
2421,建準
2428,興勤
2431,聯昌
2440,太空梭
2457,飛宏
2460,建通
2462,良得電
2467,志聖
2472,立隆電
2476,鉅祥
2478,大毅
2483,百容
2484,希華
2492,華新科
2493,揚博
3003,健和興
3011,今皓
3015,全漢
3021,鴻名
3023,信邦
3026,禾伸堂
3032,偉訓
3037,欣興
3042,晶技
3044,健鼎
3058,立德
3090,日電貿
3092,鴻碩
3229,晟鈦
3296,勝德
3308,聯德
3321,同泰
3338,泰碩
3376,新日興
3432,台端
3501,維熹
3533,嘉澤
3550,聯穎
3593,力銘
3605,宏致
3607,谷崧
3645,達邁
3653,健策
3679,新至陞
3715,定穎投控
4545,銘鈺
4912,聯德控股-KY
4915,致伸
4927,泰鼎-KY
4943,康控-KY
4958,臻鼎-KY
4989,榮科
4999,鑫禾
5469,瀚宇博
6108,競國
6115,鎰勝
6133,金橋
6141,柏承
6153,嘉聯益
6155,鈞寶
6191,精成科
6197,佳必琪
6205,詮欣
6213,聯茂
6224,聚鼎
6269,台郡
6282,康舒
6412,群電
6449,鈺邦
6672,騰輝電子-KY
6715,嘉基
6781,AES-KY
6834,天二科技
8039,台虹
8046,南電
8103,瀚荃
8213,志超
8249,菱光
