代碼,公司名稱
2301,光寶科
2305,全友
2324,仁寶
2331,精英
2352,佳世達
2353,宏碁
2356,英業達
2357,華碩
2362,藍天
2364,倫飛
2365,昆盈
2376,技嘉
2377,微星
2380,虹光
2382,廣達
2387,精元
2395,研華
2397,友通
2399,映泰
2405,輔信
2417,圓剛
2424,隴華
2425,承啟
2442,新美齊
2465,麗臺
2495,普安
3002,歐格
3005,神基
3013,晟銘電
3017,奇鋐
3022,威強電
3046,建碁
3057,喬鼎
3060,銘異
3231,緯創
3416,融程電
3494,誠研
3515,華擎
3701,大眾控
3706,神達
3712,永崴投控
4916,事欣科
4938,和碩
5215,科嘉-KY
5258,虹堡
6117,迎廣
6128,上福
6166,凌華
6206,飛捷
6230,尼得科超眾
6235,華孚
6277,宏正
6414,樺漢
6579,研揚
6591,動力-KY
6669,緯穎
8114,振樺電
8163,達方
8210,勤誠
9912,偉聯
