代碼,名稱,櫃別,類股
1336,台翰,上櫃,電子零組件業
1569,濱川,上櫃,電腦及週邊設備業
1570,力肯,上櫃,電機機械
1580,新麥,上櫃,電機機械
1586,和勤,上櫃,電機機械
1591,駿吉-KY,上櫃,電機機械
1595,川寶,上櫃,電子零組件業
1599,宏佳騰,上櫃,電機機械
1785,光洋科,上櫃,其他電子業
1815,富喬,上櫃,電子零組件業
2066,世德,上櫃,電機機械
2067,嘉鋼,上櫃,電機機械
2070,精湛,上櫃,電機機械
2230,泰茂,上櫃,電機機械
2235,謚源,上櫃,電機機械
3067,全域,上櫃,其他電子業
3071,協禧,上櫃,電腦及週邊設備業
3073,天方能源,上櫃,半導體業
3078,僑威,上櫃,電子零組件業
3088,艾訊,上櫃,電腦及週邊設備業
3089,億杰,上櫃,電子零組件業
3093,港建,上櫃,其他電子業
3105,穩懋,上櫃,半導體業
3114,好德,上櫃,電子零組件業
3115,富榮綱,上櫃,電子零組件業
3122,笙泉,上櫃,半導體業
3131,弘塑,上櫃,其他電子業
3141,晶宏,上櫃,半導體業
3162,精確,上櫃,電機機械
3169,亞信,上櫃,半導體業
3178,公準,上櫃,電機機械
3191,和進,上櫃,電子零組件業
3202,樺晟,上櫃,電子零組件業
3206,志豐,上櫃,電子零組件業
3207,耀勝,上櫃,電子零組件業
3211,順達,上櫃,電腦及週邊設備業
3213,茂訊,上櫃,電腦及週邊設備業
3217,優群,上櫃,電子零組件業
3219,倚強科,上櫃,其他電子業
3224,三顧,上櫃,電子通路業
3226,至寶電,上櫃,電機機械
3227,原相,上櫃,半導體業
3228,金麗科,上櫃,半導體業
3232,昱捷,上櫃,電子通路業
3236,千如,上櫃,電子零組件業
3259,鑫創,上櫃,半導體業
3260,威剛,上櫃,半導體業
3264,欣銓,上櫃,半導體業
3265,台星科,上櫃,半導體業
3268,海德威,上櫃,半導體業
3272,東碩,上櫃,電腦及週邊設備業
3276,宇環,上櫃,電子零組件業
3285,微端,上櫃,其他電子業
3287,廣寰科,上櫃,電腦及週邊設備業
3288,點晶,上櫃,電子零組件業
3289,宜特,上櫃,其他電子業
3290,東浦,上櫃,電子零組件業
3294,英濟,上櫃,電子零組件業
3303,岱稜,上櫃,其他電子業
3310,佳穎,上櫃,電子零組件業
3317,尼克森,上櫃,半導體業
3322,建舜電,上櫃,電子零組件業
3323,加百裕,上櫃,電腦及週邊設備業
3324,雙鴻,上櫃,其他電子業
3325,旭品,上櫃,電腦及週邊設備業
3332,幸康,上櫃,電子零組件業
3349,寶德,上櫃,電腦及週邊設備業
3354,律勝,上櫃,電子零組件業
3357,臺慶科,上櫃,電子零組件業
3360,尚立,上櫃,電子通路業
3372,典範,上櫃,半導體業
3373,熱映,上櫃,其他電子業
3374,精材,上櫃,半導體業
3379,彬台,上櫃,電機機械
3388,崇越電,上櫃,電子零組件業
3390,旭軟,上櫃,電子零組件業
3402,漢科,上櫃,其他電子業
3426,台興,上櫃,電機機械
3438,類比科,上櫃,半導體業
3444,利機,上櫃,電子通路業
3465,進泰電子,上櫃,電子零組件業
3479,安勤,上櫃,電腦及週邊設備業
3483,力致,上櫃,電腦及週邊設備業
3484,崧騰,上櫃,電子零組件業
3492,長盛,上櫃,電子零組件業
3498,陽程,上櫃,其他電子業
3508,位速,上櫃,其他電子業
3511,矽瑪,上櫃,電子零組件業
3520,華盈,上櫃,電子零組件業
3521,鴻翊,上櫃,電腦及週邊設備業
3526,凡甲,上櫃,電子零組件業
3527,聚積,上櫃,半導體業
3529,力旺,上櫃,半導體業
3537,堡達,上櫃,電子零組件業
3540,曜越,上櫃,電腦及週邊設備業
3541,西柏,上櫃,其他電子業
3548,兆利,上櫃,電子零組件業
3551,世禾,上櫃,其他電子業
3552,同致,上櫃,其他電子業
3555,重鵬,上櫃,半導體業
3556,禾瑞亞,上櫃,半導體業
3567,逸昌,上櫃,半導體業
3577,泓格,上櫃,電腦及週邊設備業
3580,友威科,上櫃,其他電子業
3581,博磊,上櫃,半導體業
3587,閎康,上櫃,其他電子業
3594,磐儀,上櫃,電腦及週邊設備業
3597,映興,上櫃,電子零組件業
3609,三一東林,上櫃,電子零組件業
3611,鼎翰,上櫃,電腦及週邊設備業
3624,光頡,上櫃,電子零組件業
3625,西勝,上櫃,電腦及週邊設備業
3628,盈正,上櫃,其他電子業
3631,晟楠,上櫃,電子零組件業
3642,駿熠電,上櫃,其他電子業
3646,艾恩特,上櫃,電子零組件業
3652,精聯,上櫃,電腦及週邊設備業
3663,鑫科,上櫃,其他電子業
3675,德微,上櫃,半導體業
3680,家登,上櫃,半導體業
3685,元創精密,上櫃,電機機械
3689,湧德,上櫃,電子零組件業
3693,營邦,上櫃,電腦及週邊設備業
3707,漢磊,上櫃,半導體業
3709,鑫聯大投控,上櫃,電腦及週邊設備業
3710,連展投控,上櫃,電子零組件業
4502,健信,上櫃,電機機械
4503,金雨,上櫃,電機機械
4506,崇友,上櫃,電機機械
4510,高鋒,上櫃,電機機械
4513,福裕,上櫃,電機機械
4523,永彰,上櫃,電機機械
4527,方土霖,上櫃,電機機械
4528,江興鍛,上櫃,電機機械
4530,宏易,上櫃,電機機械
4533,協易機,上櫃,電機機械
4534,慶騰,上櫃,電機機械
4535,至興,上櫃,電機機械
4538,大詠城,上櫃,電機機械
4542,科嶠,上櫃,電子零組件業
4543,萬在,上櫃,電機機械
4549,桓達,上櫃,電機機械
4550,長佳,上櫃,電機機械
4554,橙的,上櫃,其他電子業
4558,寶緯,上櫃,電機機械
4561,健椿,上櫃,電機機械
4563,百德,上櫃,電機機械
4568,科際精密,上櫃,電機機械
4577,達航科技,上櫃,其他電子業
4580,捷流閥業,上櫃,電機機械
4760,勤凱,上櫃,其他電子業
4923,力士,上櫃,半導體業
4924,欣厚-KY,上櫃,電腦及週邊設備業
4931,新盛力,上櫃,電腦及週邊設備業
4939,亞電,上櫃,電子零組件業
4945,陞達科技,上櫃,半導體業
4966,譜瑞-KY,上櫃,半導體業
4971,IET-KY,上櫃,半導體業
4973,廣穎,上櫃,半導體業
4974,亞泰,上櫃,電子零組件業
4987,科誠,上櫃,電腦及週邊設備業
4991,環宇-KY,上櫃,半導體業
5205,中茂,上櫃,其他電子業
5223,安力-KY,上櫃,電腦及週邊設備業
5227,立凱-KY,上櫃,電子零組件業
5228,鈺鎧,上櫃,電子零組件業
5236,凌陽創新,上櫃,半導體業
5272,笙科,上櫃,半導體業
5274,信驊,上櫃,半導體業
5289,宜鼎,上櫃,電腦及週邊設備業
5291,邑昇,上櫃,電子零組件業
5299,杰力,上櫃,半導體業
5302,太欣,上櫃,半導體業
5309,系統電,上櫃,電子零組件業
5314,世紀,上櫃,半導體業
5328,華容,上櫃,電子零組件業
5340,建榮,上櫃,電子零組件業
5344,立衛,上櫃,半導體業
5347,世界,上櫃,半導體業
5351,鈺創,上櫃,半導體業
5355,佳總,上櫃,電子零組件業
5356,協益,上櫃,電腦及週邊設備業
5381,合正,上櫃,電子零組件業
5383,金利,上櫃,其他電子業
5386,青雲,上櫃,電腦及週邊設備業
5425,台半,上櫃,半導體業
5426,振發,上櫃,電腦及週邊設備業
5438,東友,上櫃,電腦及週邊設備業
5439,高技,上櫃,電子零組件業
5452,佶優,上櫃,其他電子業
5457,宣德,上櫃,電子零組件業
5460,同協,上櫃,電子零組件業
5464,霖宏,上櫃,電子零組件業
5465,富驊,上櫃,電腦及週邊設備業
5468,凱鈺,上櫃,半導體業
5474,聰泰,上櫃,電腦及週邊設備業
5475,德宏,上櫃,電子零組件業
5483,中美晶,上櫃,半導體業
5487,通泰,上櫃,半導體業
5488,松普,上櫃,電子零組件業
5489,彩富,上櫃,其他電子業
5490,同亨,上櫃,電腦及週邊設備業
5493,三聯,上櫃,其他電子業
5498,凱崴,上櫃,電子零組件業
5536,聖暉,上櫃,其他電子業
5820,日盛金,上櫃,金融保險業
5864,致和證,上櫃,金融保險業
5878,台名,上櫃,金融保險業
6015,宏遠證,上櫃,金融保險業
6016,康和證,上櫃,金融保險業
6020,大展證,上櫃,金融保險業
6021,美好證,上櫃,金融保險業
6023,元大期,上櫃,金融保險業
6026,福邦證,上櫃,金融保險業
6103,合邦,上櫃,半導體業
6104,創惟,上櫃,半導體業
6113,亞矽,上櫃,電子通路業
6114,久威,上櫃,電子零組件業
6118,建達,上櫃,電子通路業
6121,新普,上櫃,電腦及週邊設備業
6122,擎邦,上櫃,電機機械
6123,上奇,上櫃,電腦及週邊設備業
6124,業強,上櫃,電子零組件業
6126,信音,上櫃,電子零組件業
6127,九豪,上櫃,電子零組件業
6129,普誠,上櫃,半導體業
6134,萬旭,上櫃,電子零組件業
6138,茂達,上櫃,半導體業
6146,耕興,上櫃,其他電子業
6147,頎邦,上櫃,半導體業
6150,撼訊,上櫃,電腦及週邊設備業
6151,晉倫,上櫃,其他電子業
6154,順發,上櫃,電子通路業
6156,松上,上櫃,電子零組件業
6158,禾昌,上櫃,電子零組件業
6160,欣技,上櫃,電腦及週邊設備業
6161,捷波,上櫃,電腦及週邊設備業
6173,信昌電,上櫃,電子零組件業
6174,安碁,上櫃,電子零組件業
6175,立敦,上櫃,電子零組件業
6182,合晶,上櫃,半導體業
6185,幃翔,上櫃,電子零組件業
6187,萬潤,上櫃,其他電子業
6188,廣明,上櫃,電腦及週邊設備業
6194,育富,上櫃,電子零組件業
6198,凌泰,上櫃,半導體業
6203,海韻電,上櫃,電子零組件業
6204,艾華,上櫃,電子零組件業
6207,雷科,上櫃,電子零組件業
6208,日揚,上櫃,電子零組件業
6210,慶生,上櫃,電子零組件業
6217,中探針,上櫃,電子零組件業
6220,岳豐,上櫃,電子零組件業
6223,旺矽,上櫃,半導體業
6227,茂綸,上櫃,電子通路業
6228,全譜,上櫃,電腦及週邊設備業
6229,研通,上櫃,半導體業
6233,旺玖,上櫃,半導體業
6237,驊訊,上櫃,半導體業
6247,淇譽電,上櫃,其他電子業
6259,百徽,上櫃,電子零組件業
6261,久元,上櫃,半導體業
6265,方土昶,上櫃,電子通路業
6266,泰詠,上櫃,電子零組件業
6270,倍微,上櫃,電子通路業
6274,台燿,上櫃,電子零組件業
6275,元山,上櫃,電子零組件業
6276,安鈦克,上櫃,電腦及週邊設備業
6279,胡連,上櫃,電子零組件業
6284,佳邦,上櫃,電子零組件業
6287,元隆,上櫃,半導體業
6290,良維,上櫃,電子零組件業
6291,沛亨,上櫃,半導體業
6292,迅德,上櫃,電子零組件業
6411,晶焱,上櫃,半導體業
6418,詠昇,上櫃,電子零組件業
6425,易發,上櫃,電機機械
6432,今展科,上櫃,電子零組件業
6435,大中,上櫃,半導體業
6441,廣錠,上櫃,電腦及週邊設備業
6457,紘康,上櫃,半導體業
6462,神盾,上櫃,半導體業
6485,點序,上櫃,半導體業
6488,環球晶,上櫃,半導體業
6494,九齊,上櫃,半導體業
6510,精測,上櫃,半導體業
6512,啟發電,上櫃,其他電子業
6532,瑞耘,上櫃,半導體業
6538,倉和,上櫃,電子零組件業
6548,長科*,上櫃,半導體業
6568,宏觀,上櫃,半導體業
6570,維田,上櫃,電腦及週邊設備業
6577,勁豐,上櫃,電腦及週邊設備業
6594,展匯科,上櫃,半導體業
6603,富強鑫,上櫃,電機機械
6609,瀧澤科,上櫃,電機機械
6613,朋億*,上櫃,其他電子業
6640,均華,上櫃,半導體業
6642,富致,上櫃,電子零組件業
6643,M31,上櫃,半導體業
6651,全宇昕,上櫃,半導體業
6654,天正國際,上櫃,其他電子業
6664,群翊,上櫃,電子零組件業
6667,信紘科,上櫃,其他電子業
6679,鈺太,上櫃,半導體業
6680,鑫創電子,上櫃,電腦及週邊設備業
6683,雍智科技,上櫃,半導體業
6684,安格,上櫃,半導體業
6693,廣閎科,上櫃,半導體業
6716,應廣,上櫃,半導體業
6727,亞泰金屬,上櫃,電子零組件業
6732,昇佳電子,上櫃,半導體業
6735,美達科技,上櫃,其他電子業
6761,穩得,上櫃,電子零組件業
6788,華景電,上櫃,半導體業
6823,濾能,上櫃,半導體業
6829,千附精密,上櫃,電機機械
7556,意德士,上櫃,半導體業
8024,佑華,上櫃,半導體業
8027,鈦昇,上櫃,電機機械
8032,光菱,上櫃,電子通路業
8038,長園科,上櫃,電子零組件業
8040,九暘,上櫃,半導體業
8042,金山電,上櫃,電子零組件業
8043,蜜望實,上櫃,電子零組件業
8047,星雲,上櫃,其他電子業
8050,廣積,上櫃,電腦及週邊設備業
8054,安國,上櫃,半導體業
8067,志旭,上櫃,電子通路業
8068,全達,上櫃,電子通路業
8071,能率網通,上櫃,電子零組件業
8074,鉅橡,上櫃,電子零組件業
8076,伍豐,上櫃,電腦及週邊設備業
8083,瑞穎,上櫃,電機機械
8084,巨虹,上櫃,電子通路業
8085,福華,上櫃,其他電子業
8086,宏捷科,上櫃,半導體業
8088,品安,上櫃,半導體業
8091,翔名,上櫃,電子零組件業
8092,建暐,上櫃,其他電子業
8093,保銳,上櫃,電子零組件業
8096,擎亞,上櫃,電子通路業
8107,大億金茂,上櫃,電機機械
8109,博大,上櫃,電子零組件業
8121,越峰,上櫃,電子零組件業
8147,正淩,上櫃,電子零組件業
8155,博智,上櫃,電子零組件業
8182,加高,上櫃,電子零組件業
8183,精星,上櫃,其他電子業
8234,新漢,上櫃,電腦及週邊設備業
8255,朋程,上櫃,電機機械
8277,商丞,上櫃,半導體業
8289,泰藝,上櫃,電子零組件業
8291,尚茂,上櫃,電子零組件業
8299,群聯,上櫃,半導體業
8358,金居,上櫃,電子零組件業
8383,千附,上櫃,其他電子業
8410,森田,上櫃,電腦及週邊設備業
8431,匯鑽科,上櫃,其他電子業
8455,大拓-KY,上櫃,其他電子業
9951,皇田,上櫃,電機機械
o00,櫃買,上櫃,指數
