代碼,名稱,櫃別,類股
1471,首利,上市,電子零組件業
1503,士電,上市,電機機械
1504,東元,上市,電機機械
1506,正道,上市,電機機械
1513,中興電,上市,電機機械
1514,亞力,上市,電機機械
1515,力山,上市,電機機械
1517,利奇,上市,電機機械
1519,華城,上市,電機機械
1526,日馳,上市,電機機械
1527,鑽全,上市,電機機械
1528,恩德,上市,電機機械
1529,樂士,上市,電機機械
1530,亞崴,上市,電機機械
1531,高林股,上市,電機機械
1532,勤美,上市,電機機械
1535,中宇,上市,電機機械
1537,廣隆,上市,電機機械
1538,正峰,上市,電機機械
1539,巨庭,上市,電機機械
1540,喬福,上市,電機機械
1541,錩泰,上市,電機機械
1558,伸興,上市,電機機械
1560,中砂,上市,電機機械
1582,信錦,上市,電子零組件業
1583,程泰,上市,電機機械
1589,永冠-KY,上市,電機機械
1590,亞德客-KY,上市,電機機械
1597,直得,上市,電機機械
2049,上銀,上市,電機機械
2059,川湖,上市,電子零組件業
2301,光寶科,上市,電腦及週邊設備業
2302,麗正,上市,半導體業
2303,聯電,上市,半導體業
2305,全友,上市,電腦及週邊設備業
2308,台達電,上市,電子零組件業
2312,金寶,上市,其他電子業
2313,華通,上市,電子零組件業
2316,楠梓電,上市,電子零組件業
2317,鴻海,上市,其他電子業
2324,仁寶,上市,電腦及週邊設備業
2327,國巨,上市,電子零組件業
2328,廣宇,上市,電子零組件業
2329,華泰,上市,半導體業
2330,台積電,上市,半導體業
2331,精英,上市,電腦及週邊設備業
2337,旺宏,上市,半導體業
2338,光罩,上市,半導體業
2340,台亞,上市,半導體業
2342,茂矽,上市,半導體業
2344,華邦電,上市,半導體業
2347,聯強,上市,電子通路業
2351,順德,上市,半導體業
2352,佳世達,上市,電腦及週邊設備業
2353,宏碁,上市,電腦及週邊設備業
2354,鴻準,上市,其他電子業
2355,敬鵬,上市,電子零組件業
2356,英業達,上市,電腦及週邊設備業
2357,華碩,上市,電腦及週邊設備業
2359,所羅門,上市,其他電子業
2360,致茂,上市,其他電子業
2362,藍天,上市,電腦及週邊設備業
2363,矽統,上市,半導體業
2364,倫飛,上市,電腦及週邊設備業
2365,昆盈,上市,電腦及週邊設備業
2367,燿華,上市,電子零組件業
2368,金像電,上市,電子零組件業
2369,菱生,上市,半導體業
2371,大同,上市,電機機械
2373,震旦行,上市,其他電子業
2375,凱美,上市,電子零組件業
2376,技嘉,上市,電腦及週邊設備業
2377,微星,上市,電腦及週邊設備業
2379,瑞昱,上市,半導體業
2380,虹光,上市,電腦及週邊設備業
2382,廣達,上市,電腦及週邊設備業
2383,台光電,上市,電子零組件業
2385,群光,上市,電子零組件業
2387,精元,上市,電腦及週邊設備業
2388,威盛,上市,半導體業
2390,云辰,上市,其他電子業
2392,正崴,上市,電子零組件業
2395,研華,上市,電腦及週邊設備業
2397,友通,上市,電腦及週邊設備業
2399,映泰,上市,電腦及週邊設備業
2401,凌陽,上市,半導體業
2402,毅嘉,上市,電子零組件業
2404,漢唐,上市,其他電子業
2405,浩鑫,上市,電腦及週邊設備業
2408,南亞科,上市,半導體業
2413,環科,上市,電子零組件業
2414,精技,上市,電子通路業
2415,錩新,上市,電子零組件業
2417,圓剛,上市,電腦及週邊設備業
2420,新巨,上市,電子零組件業
2421,建準,上市,電子零組件業
2423,固緯,上市,其他電子業
2424,隴華,上市,電腦及週邊設備業
2425,承啟,上市,電腦及週邊設備業
2428,興勤,上市,電子零組件業
2430,燦坤,上市,電子通路業
2431,聯昌,上市,電子零組件業
2433,互盛電,上市,其他電子業
