,Unnamed: 0,代碼,公司名稱
0,0,9101,福雷電子
1,1,9102,東亞科
2,2,9103,美德醫
3,3,9104,萬宇科
4,4,9902,台火
5,5,9904,寶成
6,6,9905,大華
7,7,9906,興達
8,8,9907,統一實
9,9,9908,大台北
10,10,9910,豐泰
11,11,9911,櫻花
12,12,9912,偉聯
13,13,9914,美利達
14,14,9915,億豐
15,15,9917,中保
16,16,9918,欣天然
17,17,9919,康那香
18,18,9921,巨大
19,19,9922,優美
20,20,9924,福興
21,21,9925,新保
22,22,9926,新海
23,23,9927,泰銘
24,24,9928,中視
25,25,9929,秋雨
26,26,9930,中聯資
27,27,9931,欣高油氣
28,28,9933,中鼎
29,29,9934,成霖
30,30,9935,慶豐富
31,31,9936,欣錩
32,32,9937,全國
33,33,9938,百和
34,34,9939,宏全國際
35,35,9940,信義
36,36,9941,裕融
37,37,9942,茂順
38,38,9943,好樂迪
39,39,9944,新麗
40,40,9945,潤泰新
41,41,1701,中化
42,42,1702,南僑
43,43,1704,榮化
44,44,1707,葡萄王
45,45,1708,東鹼
46,46,1709,和益
47,47,1710,東聯
48,48,1711,永光
49,49,1712,興農
50,50,1713,國化
51,51,1714,和桐
52,52,1715,亞化
53,53,1716,永信
54,54,1717,長興
55,55,1718,中纖
56,56,1720,生達
57,57,1721,三晃
58,58,1722,台肥
59,59,1723,中鋼碳素
60,60,1724,台硝
61,61,1725,元禎
62,62,1726,永記
63,63,1727,中華化
64,64,1729,必翔
65,65,1730,花仙子
66,66,1731,美吾華
67,67,1732,毛寶
68,68,1733,五鼎
69,69,1734,杏輝
70,70,1735,日勝化
71,71,1736,喬山
72,72,1301,台塑
73,73,1303,南亞
74,74,1304,台聚
75,75,1305,華夏
76,76,1306,合發
77,77,1307,三芳
78,78,1308,亞聚
79,79,1309,台達
80,80,1310,台苯
81,81,1311,福聚
82,82,1312,國喬
83,83,1313,聯成
84,84,1314,中石化
85,85,1315,達新
86,86,1316,上曜
87,87,1319,東陽
88,88,1321,大洋
89,89,1323,永裕
90,90,1324,地球
91,91,1325,恆大
92,92,1326,台化
93,93,2101,南港
94,94,2102,泰豐
95,95,2103,台橡
96,96,2104,中橡
