代碼,公司名稱
5301,祥裕電子
5302,太欣
5304,大霸
5305,敦南
5306,訊康
5307,耀文
5309,系統
5310,天剛
5312,寶島光學
5314,世紀
5315,光聯
5317,凱美
5318,佳鼎
5321,九德
5324,華昕
5325,大騰
5326,漢磊
5328,華容
5336,華特
5340,建榮
5344,立衛
5345,天揚
5346,力晶
5347,世界先進
5348,系通
5349,先豐
5351,鈺創
5353,台林
5355,佳總
5356,協益
5364,梅捷
5371,中強光電
5372,十美
5375,慧智
5376,東正元
5381,合正
5383,金利
5384,捷元
5385,瑩寶
5386,青雲國際
5387,茂德
5388,中磊
5392,怡安
5395,普揚
5398,力瑋
5401,第三波
5403,中菲
5410,國眾
5414,磐英
5425,台半
5426,振發
5432,達威
5434,崇越
5436,立生
5438,東友
5439,高技企業
5442,世峰
5443,均豪
5450,寶聯
5452,佶優
5455,訊利電
5457,宣得
5460,同協電子
5464,霖宏科技
5465,富驊
5466,泰林
5467,聯瞻
5468,台晶
5469,瀚宇博德
5471,松翰科技
5473,矽成
5474,聰泰
5475,德宏
5478,智冠
5480,統盟
5481,華韡電子
5483,中美晶
5484,慧友電
5487,通泰
5488,松普科技
5489,彩富
5490,同亨
5491,連展
5492,亞智科
5493,三聯科技
5494,德鑫
5497,佰鈺科技
5498,凱崴
6101,弘捷
6103,合邦
6104,創惟科技
6105,瑞傳科技
6107,華美
6108,競國
6109,亞元
6110,艾群科技
6111,大宇資
6112,聚碩
6113,亞矽
6114,翔昇
6115,鎰勝
6116,彩晶
6117,迎廣科技
6118,建達國際
6119,大傳
6120,輔祥
6121,新普科技
6122,擎邦國際
6123,上奇
6124,業強
6125,廣運
6126,信音
6127,九豪
6129,普誠
6130,亞全
6131,悠克
6132,銳普
6133,金橋
6134,萬旭
6135,佳營
6136,富爾特
6137,新寶科
6138,茂達
6139,亞翔
6140,訊達
6141,柏承
6142,友勁
6143,振曜
6144,得利影
6145,勁永
6146,耕興
6147,頎邦
6148,和平
6149,陸德
6150,撼訊
6151,晉倫
6152,百一
6153,嘉聯益
6154,順發
6155,鈞寶
6156,科橋
6157,一等
6158,禾昌
6159,詮鼎
6160,欣技
6161,捷波
6162,鴻源科
6163,華電網
6164,華興
6165,捷泰
6166,凌華
6167,久正
6168,宏齊
6169,昱泉
6170,統振
6171,亞銳士
6172,互億
6173,信昌電
6174,安碁
6175,立敦
6176,瑞儀光電
6177,十全
6178,振遠
6179,世仰
6180,橘子
6181,宇詮
6182,合晶
6183,關貿
6184,大豐電
6185,幃翔
6186,晶磊
6187,萬潤
6188,廣明
6189,豐藝
6190,萬泰科技
6191,信元
6192,巨路
6193,洪氏英
6194,育富
6195,旭展
6196,帆宣
6197,佳必琪
6198,凌泰科技
6199,精威
6201,亞弘電
6202,盛群
6203,海韻電
6204,艾華
6205,詮欣
6206,飛捷
6207,雷科
6208,日揚
6209,今國光
6210,慶生
6211,福登
6212,理銘
6213,聯茂
6214,精誠
6215,和椿
6216,居易
6217,中探針
6218,豪勉
6219,視達
6220,岳豐
6221,晉泰
6222,上揚
6223,旺矽
6224,聚鼎
6225,天瀚
6226,光鼎
6227,茂綸
6228,全譜
6229,研通
6230,超眾
6231,系微
6232,仕欽
6233,旺玖
6234,高僑
6235,華孚
6236,凌越
6237,驊訊
6238,巨圖
6239,力成
6240,文魁
6241,享承
6242,聯豪科
6243,迅杰
6244,茂迪
6245,立端
8002,資傳
8008,建興電子
8009,昱昕
8010,益和
8011,台通
8012,琭旦
8014,宏廣
